"seed","ari","nmi","n_vertices","n_communities"
460,0.0260129760565305,0.0479510293628015,169,13
461,0.0263825090688685,0.0371383140283887,155,13
462,0.0288420344706672,0.0498406805051677,166,14
463,0.0258376519153359,0.035332887482086,149,14
464,0.0291364316803001,0.041202964764731,159,12
465,0.0195306484373099,0.0349748439140022,155,13
466,0.0229576040187221,0.0360471950904021,152,13
467,0.0165278603560536,0.0331327323885691,158,13
468,0.0196318259636579,0.0388028542256952,156,14
469,0.0303538289290708,0.0406658892466226,161,14
470,0.049277757873922,0.0523510066921945,156,13
471,0.0259725314765887,0.0361476441451769,149,13
472,0.0582668295173424,0.0756998130101453,159,13
473,0.0203099715992846,0.02919218207352,152,14
474,0.0437566637754587,0.051360746170539,162,13
475,0.013246010492772,0.0278598090008165,152,14
476,0.0569867511661106,0.0661513295768404,153,16
477,0.0213692740621029,0.043952163188592,160,14
478,0.0233741221792338,0.0382280055510105,159,12
479,0.0476477189268098,0.0552478000626262,149,12
480,0.0418498322610523,0.0651167902080822,157,14
481,0.0300554319143229,0.0370250490553635,150,12
482,0.032315798926468,0.0480017995346686,159,13
483,0.0181773535404894,0.0313989475906709,160,12
484,0.0479944630153738,0.0609346842525429,154,13
485,0.0470317173651098,0.0507799220266894,146,13
486,0.0224131547516858,0.0392534617482251,160,13
487,0.0355604240138605,0.046206094623055,142,14
488,0.0179171340291922,0.0403720470675747,160,14
489,0.0280005805028439,0.0464541713036552,165,14
490,0.030573324321088,0.0377475462257422,161,14
491,0.0271455309849995,0.0374670582481554,165,13
492,0.0321073894573864,0.041636341026616,157,15
493,0.0246210331498192,0.0428304216261218,158,13
494,0.0108102760081961,0.0209213083887041,151,12
495,0.020832661629636,0.0286778802500411,169,13
496,0.0244166014249062,0.0309029777454462,158,12
497,0.028442160584986,0.0388106686042002,164,14
498,0.0311709888528058,0.0496427722156636,153,13
499,0.033813607727485,0.0471316759845944,145,13
500,0.0225844905940091,0.0384248778406552,147,12
501,0.0207497735430911,0.0440823783267476,150,13
502,0.022731208404154,0.0299104279179611,157,12
503,0.0144191756618579,0.0235683312945008,157,13
504,0.00930481777646878,0.0332760866651255,162,13
505,0.0191108185618399,0.0334972343258874,147,13
506,0.0130320713515434,0.0198991355123408,154,12
507,0.0290563063598873,0.052890520287976,143,14
508,0.0232835167567289,0.0403200328815746,160,13
509,0.024375805128758,0.0308500563327792,157,13
510,0.0103728818293373,0.018552734172846,165,14
511,0.0468276461768839,0.0530832846591012,161,14
512,0.0387618584164662,0.0559080224804156,158,14
513,0.0381639558068159,0.0482721148312153,156,15
514,0.0285026544310498,0.0362221406610063,158,12
515,0.0141364205857513,0.0399164341181096,154,13
516,0.014104924168331,0.030358445543193,154,13
517,0.035742219559824,0.0493360244338582,159,13
518,0.017895242781162,0.0399056953575613,154,12
519,0.0168377211349846,0.0508003805558715,157,13
520,0.0311570182807037,0.0366290553808958,157,13
521,0.0247027243946583,0.0331654638220668,160,13
522,0.0297743136080418,0.0352481588335632,149,13
523,0.0277956664454589,0.0473718634984661,162,12
524,0.0410408633085093,0.0565382088960079,151,15
525,0.0198141584302565,0.0424620767072588,147,14
526,0.0298193209985282,0.0404353062271039,157,12
527,0.0215314171127452,0.035923427959736,158,16
528,0.0162666402802011,0.0453432827530981,161,13
529,0.0261603869988341,0.0359170109221923,154,14
530,0.0367732004739367,0.0589283519359739,158,14
531,0.0217546796948902,0.0342256024913101,147,13
532,0.0401925326615067,0.0540761257216883,152,14
