"tract","density_q","distance_to_centroid"
"25011040600","Q1_low",5.79762047904392
"25011040701","Q2",5.46132476653516
"25011040702","Q1_low",6.99678023201039
"25011040800","Q1_low",6.6648860236533
"25011040900","Q1_low",7.41623516904363
"25011041000","Q1_low",6.55659345903422
"25011041100","Q1_low",7.27675585216712
"25011041200","Q3",5.85536919153885
"25011041301","Q4_high",5.42465887918086
"25011041302","Q4_high",4.67597849590013
"25011041400","Q2",6.95533345032434
"25011041501","Q1_low",4.13308967950063
"25011041502","Q1_low",4.08749616969947
"25013800101","Q2",7.06117026073686
"25013800102","Q3",4.69467068157489
"25013800201","Q3",7.49113589230726
"25013800202","Q4_high",9.01198452865768
"25013800300","Q3",8.05029492754088
"25013800400","Q3",5.29123606087002
"25013800500","Q3",6.09700716335938
"25013800600","Q4_high",8.20804918823286
"25013800700","Q4_high",9.71210009883339
"25013800800","Q4_high",7.15332805641246
"25013800900","Q4_high",9.20894219105693
"25013801101","Q4_high",6.27069140731492
"25013801102","Q4_high",6.59607278401749
"25013801200","Q4_high",7.43610321941396
"25013801300","Q4_high",7.98372569104693
"25013801401","Q3",8.16799499936092
"25013801402","Q3",6.78682115281809
"25013801501","Q4_high",8.49174768008462
"25013801502","Q3",6.99277886571581
"25013801503","Q3",7.20069984971631
"25013801601","Q2",6.07571477422944
"25013801602","Q3",9.21206856337193
"25013801603","Q2",6.71491308876029
"25013801604","Q1_low",6.95859797982441
"25013801605","Q3",7.08662094210498
"25013801700","Q3",8.18327784179265
"25013801800","Q3",4.69815277643442
"25013801901","Q4_high",8.1959859151094
"25013801902","Q4_high",7.49996503445144
"25013802000","Q4_high",7.40296413056759
"25013802101","Q2",5.37223137757152
"25013802200","Q3",5.65931332753234
"25013802300","Q3",6.49368761902262
"25013802400","Q2",5.62779064401319
"25013802500","Q2",4.86681794326974
"25013802601","Q2",5.51859029910738
"25013802602","Q1_low",6.414461742583
"25013810100","Q1_low",5.52657148337098
"25013810200","Q1_low",5.91885197382338
"25013810300","Q1_low",4.52165587941952
"25013810403","Q3",3.88876897742483
"25013810404","Q1_low",6.97159767827045
"25013810412","Q2",5.85279326540554
"25013810414","Q1_low",4.7330560714864
"25013810601","Q3",8.2994591808353
"25013810602","Q2",9.14842263697504
"25013810700","Q2",5.752291168988
"25013810800","Q2",7.2425447736274
"25013810901","Q3",5.70962915920676
"25013810902","Q3",8.18033937952385
"25013811000","Q2",5.54790271982208
"25013811101","Q3",6.6865145871719
"25013811102","Q3",8.99604045891951
"25013811200","Q2",7.06901563014819
"25013811301","Q2",4.3397870404879
"25013811302","Q2",6.02767012210709
